0.00.032.015 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.032.394 W srv  llama_server: -----------------
0.00.032.395 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.032.396 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.032.396 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.032.396 W srv  llama_server: -----------------
0.00.033.608 I srv    load_model: loading model '/root/models/Qwen3.8-27B-Q8_0.gguf'
0.00.033.715 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.00.470.737 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.470.757 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.470.765 W model has unused tensor blk.64.attn_q.weight (size = 66846720 bytes) -- ignoring
0.00.470.768 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.470.772 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.470.783 W model has unused tensor blk.64.attn_output.weight (size = 33423360 bytes) -- ignoring
0.00.470.786 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.470.789 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.470.792 W model has unused tensor blk.64.ffn_gate.weight (size = 94699520 bytes) -- ignoring
0.00.470.796 W model has unused tensor blk.64.ffn_down.weight (size = 94699520 bytes) -- ignoring
0.00.470.799 W model has unused tensor blk.64.ffn_up.weight (size = 94699520 bytes) -- ignoring
0.00.470.803 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 55705600 bytes) -- ignoring
0.00.470.807 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.470.810 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.470.819 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
[shexp-split] splitting shared experts across the TP group (LLAMA_SHEXP_SPLIT=0 to disable)
0.01.316.231 W q8_repack: repacking q8_0 tensors on device 0 (first: blk.0.attn_qkv.weight, 13926400 bytes)
0.01.336.006 W q8_repack: repacking q8_0 tensors on device 1 (first: blk.0.attn_qkv.weight, 13926400 bytes)
0.01.341.649 W q8_repack: repacking q8_0 tensors on device 2 (first: blk.0.attn_qkv.weight, 13926400 bytes)
0.01.348.816 W q8_repack: repacking q8_0 tensors on device 3 (first: blk.0.attn_qkv.weight, 13926400 bytes)
0.11.050.068 I cmn          init: llama threadpool init, n_threads = 28
0.11.050.106 W cmn  common_init_: KV cache shifting is not supported for this context, disabling KV cache shifting
0.11.967.555 W seq_rm: refusing rollback seq 0: pending=0 (rs_idx=0 target=-1) rollback=1 limit=0
0.11.981.919 I srv    load_model: initializing, n_slots = 8, n_ctx_slot = 32768, kv_unified = 'false'
0.11.987.625 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.11.987.669 I srv  llama_server: model loaded
0.11.987.672 I srv  llama_server: listening on http://127.0.0.1:8091
0.12.303.496 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = -1
0.12.303.594 I slot launch_slot_: id  7 | task 0 | processing task, is_child = 0
0.17.492.512 I slot print_timing: id  7 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =   5.19 s / 1578.76 tokens per second
0.19.212.706 I slot print_timing: id  7 | task 0 | prompt processing, n_tokens =  10240, progress = 0.38, t =   6.91 s / 1482.11 tokens per second
0.21.051.552 I slot print_timing: id  7 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =   8.75 s / 1404.68 tokens per second
0.22.993.013 I slot print_timing: id  7 | task 0 | prompt processing, n_tokens =  14336, progress = 0.53, t =  10.69 s / 1341.14 tokens per second
0.24.883.955 I slot print_timing: id  7 | task 0 | prompt processing, n_tokens =  16384, progress = 0.61, t =  12.58 s / 1302.35 tokens per second
0.26.840.679 I slot get_availabl: id  6 | task -1 | selected slot by LRU, t_last = -1
0.26.840.729 I slot launch_slot_: id  6 | task 10 | processing task, is_child = 0
0.28.704.146 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = -1
0.28.704.211 I slot launch_slot_: id  5 | task 12 | processing task, is_child = 0
0.31.849.212 I slot print_timing: id  5 | task 12 | prompt processing, n_tokens =   8192, progress = 0.31, t =   3.14 s / 2604.79 tokens per second
0.33.264.856 I slot print_timing: id  5 | task 12 | prompt processing, n_tokens =  10240, progress = 0.38, t =   4.56 s / 2245.31 tokens per second
0.35.022.676 I slot print_timing: id  5 | task 12 | prompt processing, n_tokens =  12288, progress = 0.46, t =   6.32 s / 1944.78 tokens per second
0.36.532.085 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = -1
0.36.532.126 I slot launch_slot_: id  4 | task 20 | processing task, is_child = 0
0.41.545.882 I slot print_timing: id  4 | task 20 | prompt processing, n_tokens =   2048, progress = 0.08, t =   5.01 s / 408.48 tokens per second
0.41.621.276 I slot print_timing: id  4 | task 20 | prompt processing, n_tokens =   4096, progress = 0.15, t =   5.09 s / 804.85 tokens per second
0.41.795.957 I slot print_timing: id  4 | task 20 | prompt processing, n_tokens =   6144, progress = 0.23, t =   5.26 s / 1167.22 tokens per second
0.43.155.473 I slot print_timing: id  4 | task 20 | prompt processing, n_tokens =   8192, progress = 0.30, t =   6.62 s / 1236.84 tokens per second
0.44.571.133 I slot print_timing: id  4 | task 20 | prompt processing, n_tokens =  10240, progress = 0.38, t =   8.04 s / 1273.79 tokens per second
0.46.330.303 I slot print_timing: id  4 | task 20 | prompt processing, n_tokens =  12288, progress = 0.45, t =   9.80 s / 1254.11 tokens per second
0.47.840.142 I slot print_timing: id  4 | task 20 | prompt processing, n_tokens =  14336, progress = 0.53, t =  11.31 s / 1267.78 tokens per second
0.49.388.267 I slot print_timing: id  4 | task 20 | prompt processing, n_tokens =  16384, progress = 0.61, t =  12.86 s / 1274.41 tokens per second
0.54.834.196 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.54.834.249 I slot launch_slot_: id  3 | task 30 | processing task, is_child = 0
0.58.312.263 I slot print_timing: id  3 | task 30 | prompt processing, n_tokens =   8192, progress = 0.30, t =   3.48 s / 2355.38 tokens per second
0.59.728.797 I slot print_timing: id  3 | task 30 | prompt processing, n_tokens =  10240, progress = 0.38, t =   4.89 s / 2092.13 tokens per second
